id,rating,comment,Нравится скорость отработки заявок,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Понравилось выполнение заявки,Вопрос решен,Вероятность_Нравится скорость отработки заявок,Вероятность_Нравится качество выполнения заявки,Вероятность_Нравится качество работы сотрудников,Вероятность_Понравилось выполнение заявки,Вероятность_Вопрос решен
3843760,5,спасибо),0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3844645,5,"профессионально, быстро. очень приятный мастер",0.0,0.0,1.0,0.0,0.0,0.22,0.05,0.96,0.17,0.0
3846820,5,спасибо! ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3846831,5,"Спасибо, вопрос решили, всё стало нормально ",0.0,0.0,0.0,0.0,0.0,0.24042136945071482,0.20828972871120638,0.03,0.19049115522575666,0.29894360884959087
3848236,5,Татьяна Владимировна большое вам спасибо!!!! ,0.0,0.0,1.0,0.0,0.0,0.003587315253264457,0.004193548387096774,0.9643662271341191,0.045592981989595105,0.0
3850021,5,спасибо! ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3850118,1,"спасибо за  быстрый ответ! 


",0.0,1.0,0.0,0.0,1.0,0.05375692805603099,0.6731848497030671,0.06846334173793614,0.23948661792934745,0.7907658986356314
3852179,5,Огромное спасибо вам от всего подъезда!!!   ))))),0.0,0.0,1.0,1.0,0.0,0.011264742944690726,0.01491803629515494,0.5717967506220897,0.5427901718524686,0.019182159815010428
3852743,5,спасибо!),0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3852975,5,спасибо ,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3854073,5,Все отлично ,0.0,0.0,0.0,1.0,0.0,0.0,0.3843520096306279,0.0019496712763545673,0.9983412140575081,0.004439560439560441
3856028,1,свершилось,0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
3859764,5,Спасибо мастеру ,0.0,0.0,1.0,0.0,0.0,0.03161787153589125,0.017547287419202598,0.9092917391827724,0.10155625003927662,0.08413908989018137
3859780,5,"спасибо, Вам, среагировали оперативно/быстро, а так же всё время были на связи🤝",1.0,0.0,0.0,1.0,0.0,0.9209680207433015,0.06,0.0168389662027833,0.5251860859500606,0.0
3860248,5,"Среагировали быстро, благодарю ",1.0,0.0,0.0,0.0,0.0,0.9810022671801271,0.0017876147869084053,0.04846056040003877,0.06574288330254613,0.0
3860900,5,Спасибо за оперативность!,1.0,0.0,0.0,0.0,0.0,0.8744274370273594,0.0,0.008196032116037923,0.21849013954824958,0.01114504947237178
3862448,5,Отличный мастер!,0.0,0.0,1.0,0.0,0.0,0.017954714040711566,0.026035252749538898,0.9762364685297057,0.10597934096386206,0.041875052674802696
3863351,5,"Спасибо! По крайней мере, по ночам пока шума не слышно.",0.0,0.0,0.0,1.0,0.0,0.0438162598207576,0.09322277027543978,0.2583155337928588,0.7870979738756239,0.3543500275672465
